lista_mex,anio_catalogo,descrip,cambio_vs_anio_previo
48,2020,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",False
48,2021,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",False
48,2022,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",False
48,2023,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",False
48,2024,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",False
48A,2005,Fiebre de origen desconocido,
48A,2006,Fiebre de origen desconocido,False
48A,2007,Fiebre de origen desconocido,False
48A,2008,Fiebre de origen desconocido,False
48A,2009,Fiebre de origen desconocido,False
48A,2010,Fiebre de origen desconocido,False
48A,2011,Fiebre de origen desconocido,False
48A,2012,Fiebre de origen desconocido,False
48A,2013,Fiebre de origen desconocido,False
48A,2014,Fiebre de origen desconocido,False
48A,2015,Fiebre de origen desconocido,False
48A,2016,Fiebre de origen desconocido,False
48A,2017,Fiebre de origen desconocido,False
48A,2018,Fiebre de origen desconocido,False
48A,2019,Fiebre de origen desconocido,False
48A,2020,Fiebre de origen desconocido,False
48A,2021,Fiebre de origen desconocido,False
48A,2022,Fiebre de origen desconocido,False
48A,2023,Fiebre de origen desconocido,False
48A,2024,Fiebre de origen desconocido,False
48B,2005,Anormalidades cardíacas,
48B,2006,Anormalidades cardíacas,False
48B,2007,Anormalidades cardíacas,False
48B,2008,Anormalidades cardíacas,False
48B,2009,Anormalidades cardíacas,False
48B,2010,Anormalidades cardíacas,False
48B,2011,Anormalidades cardíacas,False
48B,2012,Anormalidades cardíacas,False
48B,2013,Anormalidades cardíacas,False
